།	punc -
གང་རུང་	n.count -
གངས་	n.mass -
གངས་ཁྲོད་	n.count -
གངས་ཅན་	adj -
གངས་ཏི་སེ་	n.prop -
གངས་དཀར་	n.count -
གངས་དཀར་ལྟོངས་	n.count -
གངས་རི་	n.count -
གངས་རྩེ་མོ་	n.count -
གཅན་ཟན་ཁྱི་	n.count -
གཅི་བ	n.v.fut.n.v.pres -
གཅིག	num.card -
གཅིག་	num.card -
གཅིག་པུ	adj -
གཅིག་པུ་	adj -
གཅིག་པོ	adj -
གཅིག་པོ་	adj -
གཅིག་བརྒྱུད་	n.count -
གཅུན་ཐབས་	n.v.invar -
གཅེར་རེ་	adv.mim -
གཅེས	v.invar -
གཅེས་པ	n.v.invar -
གཅེས་ཕྲུག་	n.count -
གཅོད	v.pres -
གཅོད་	v.pres -
གཅོད་པ	n.v.pres -
གཅོད་པ་	n.v.pres -
གཉག་གཡུང་སྟོན་ཁྲོ་རྒྱལ་	n.prop -
གཉའ་	n.count -
གཉལ་ལོ་རོ་	n.prop -
གཉཱ་ནཾ་	n.prop -
གཉི་	num.card -
གཉིད་	n.count -	v.fut.v.pres -	v.invar -
གཉིས	num.card -
གཉིས་	num.card -
གཉིས་པ	num.ord -
གཉིས་པ་	num.ord -
གཉེན་	n.count -
གཉེན་ཉེ་དུ	n.count -
གཉེན་ཉེ་བ་ཕ་སྤུན་	n.count -
གཉེན་ཉེ་འཁོར	n.count -
གཉེན་བཤེས་	n.count -
གཉེན་ཚན་	n.count -
གཉེར་བ	n.v.fut.n.v.pres -
གཉེར་བ་	n.v.fut.n.v.pres -
གཏང་	v.fut -
གཏང་རག་	n.count -
གཏད་	v.fut.v.past -	v.past -
གཏད་པ	n.v.fut.n.v.past -
གཏད་པ་	n.v.fut.n.v.past -
གཏད་སོ་	n.count -
གཏན་	dunno -	n.count -	v.invar -
གཏན་ཉེས་	n.count -
གཏན་ལེགས་	n.count -
གཏམ་	n.count -
གཏམ་དཔེ་	n.count -
གཏམ་ཚིག་	n.count -
གཏམ་སྙན་	n.count -
གཏིང་	n.count -	n.rel -
གཏིང་རིང་	adj -
གཏིབས་	n.count -	v.past.v.pres -
གཏིབས་པ	n.v.past.n.v.pres -
གཏུབ་	v.fut.v.pres -
གཏུམ་པ	n.v.invar -
གཏུམ་པོ་	adj -
གཏུམ་མེ་བ་	adj -
གཏུམ་མོ	adj -	n.prop -
གཏུམ་མོ་	n.count -
གཏུམས་	v.past -
གཏེར	n.count -
གཏེར་ཁ་	n.count -
གཏོག་	v.invar -
གཏོགས	v.past -
གཏོགས་	v.past -
གཏོགས་པ	n.v.past -
གཏོང་	v.pres -
གཏོང་ཐབས་	n.v.pres -
གཏོང་པ	n.v.pres -
གཏོང་བ	n.v.pres -
གཏོང་བ་	n.v.pres -
གཏོངས་པ	n.v.pres -
གཏོངས་བ	n.v.pres -
གཏོད་	v.fut.v.pres -
གཏོར་	v.invar -
གཏོར་ཕོར་	n.count -
གཏོར་བ་	n.v.fut.n.v.pres -
གཏོར་མ	n.count -
གད	v.fut.v.pres -	v.invar -
གདགས་པ	n.v.fut -
གདན་	n.count -
གདན་ས	n.count -
གདན་ས་	n.count -
གདམ་ངག་	n.count -
གདམས་ངག	n.count -
གདམས་ངག་	n.count -
གདམས་ངག་ཟས	n.count -
གདམས་པ་	n.v.fut.n.v.past -
གདའ	v.fut.v.pres -	v.invar -
གདའ་	v.fut.v.pres -	v.invar -
གདའ་བ	n.v.fut.n.v.pres -	n.v.invar -
གདའ་བ་	n.v.invar -
གདུགས་	n.count -
གདུགས་རྒྱལ་མཚན་	n.count -
གདུང་	n.count -
གདུང་དབྱངས་	n.count -
གདུང་བརྒྱུད་	n.count -
གདུང་རབས་	n.count -
གདུང་སེམས་	n.count -
གདུངས	v.past -
གདུངས་	v.past -
གདུངས་པ	n.v.past -
གདུངས་པ་	n.v.past -
གདུལ་བྱ་	n.count -
གདེང་	n.count -
གདོང་	n.count -
གན་རྐྱལ་	n.count -
