།	punc -
ཆེན་པོ	adj -
ཆེན་པོ་	adj -
ཆེས	v.past -
ཆེས་	v.fut.v.pres -	v.invar -	v.past -	v.past.v.pres -
ཆེས་པ	n.v.fut.n.v.pres -	n.v.invar -	n.v.past -
ཆེས་པ་	n.v.past -
ཆོ	dunno -
ཆོ་ག་	n.count -
ཆོག	v.invar -
ཆོག་	v.fut.v.pres -	v.invar -
ཆོག་པ	n.v.fut.n.v.pres -	n.v.invar -	n.v.past -
ཆོག་པ་	n.v.invar -
ཆོག་བ་	n.v.invar -
ཆོག་ཤེས་དཔོན	n.count -
ཆོངས	v.imp -
ཆོངས་	v.imp -
ཆོད	v.fut.v.pres -	v.invar -
ཆོད་	v.imp -	v.invar -	v.past -	v.past.v.pres -
ཆོད་པ	n.v.invar -	n.v.past -
ཆོད་པ་	n.v.invar -
ཆོས	n.count -
ཆོས་	n.count -
ཆོས་ཉིད་	n.count -
ཆོས་དབྱིངས་	n.count -
ཆོས་པ	n.count -
ཆོས་པ་	n.count -
ཆོས་ཕྲན་ཚེགས་	n.count -
ཆོས་བདག་མཁའ་འགྲོ	n.count -
ཆོས་བརྒྱགས་	n.count -
ཆོས་བརྒྱུད་	n.count -
ཆོས་བསྐོར་	n.count -
ཆོས་བྱེད་	n.count -
ཆོས་མཛད་	n.count -
ཆོས་མེད་	adj -
ཆོས་འཁོར་	n.count -
ཆོས་འཚམས	n.count -
ཆོས་འཚམས་	n.count -
ཆོས་ལ་སྒང་	n.prop -
ཆོས་ལྷ་སྒང་	n.prop -
ཆོས་སྐལ་	n.count -
ཆོས་སྐུ	n.count -
ཆོས་སྐུ་	n.count -
ཆོས་སྐྱོང་	n.count -
ཆོས་སྐྱོང་བསྲུངས་མ	n.count -
ཆོས་སྟོན་འཚམས་	n.count -
ཇ་	n.mass -
ཇ་ཆང་	n.mass -
ཇ་ན་	dunno -
ཇ་སིགས་	n.count -
ཇག་ཉེན་	n.count -
ཇི་	p.interrog -
ཇི་སྲིད་	p.interrog -
ཇེ་	dunno -
ཇོ་ཇོ	n.count -
ཇོ་ཇོ་	n.count -
ཇོ་བོ་	n.count -
ཇོ་མོ	n.count -
ཇོ་མོ་	n.count -
ཉ་	n.count -
ཉ་ཕྱིས་	n.mass -
ཉ་མ་	n.count -
ཉག་	n.count -
ཉང་ཚ་དཀར་རྒྱན་	n.prop -
ཉན	v.pres -
ཉན་	v.fut.v.pres -	v.invar -
ཉན་པ	n.v.pres -
ཉན་པ་	n.v.pres -
ཉན་རང་	n.count -
ཉམས་	n.count -	v.invar -
ཉམས་ངར་འདོན་	dunno -
ཉམས་དགའ་	n.count -
ཉམས་པ	n.v.past -
ཉམས་པ་	n.v.invar -
ཉམས་མྱོང་	n.count -
ཉམས་རྟགས་	n.count -
ཉམས་རྟོགས་	n.count -
ཉམས་ལེན་	n.count -
ཉམས་ཤ	n.count -
ཉམས་སྣང་	n.count -
ཉམས་སྣང་ལྷ་སྐུ་	n.count -
ཉལ་	v.invar -	v.past -
ཉལ་བ	n.v.fut.n.v.pres -
ཉལ་ས་	n.count -
ཉི་མ་	n.count -
ཉི་མ་ལ་སྟོད་	n.prop -
ཉི་ཟླ་	n.count -
ཉི་ཤུ་	num.card -
ཉིང་ཁུ	n.count -
ཉིད་	d.emph -
ཉིན་	adv.temp -	n.count -
ཉིན་པ	n.count -
ཉིན་མཚན་	adv.temp -
ཉིན་མོ	n.count -
ཉིན་མོ་	n.count -
ཉིན་ཞག་ཕྲུགས་	adv.temp -
ཉིལ་	v.invar -
ཉིལ་ལེ་	adj -
ཉུང་	v.invar -
ཉུང་བ	n.v.past.n.v.pres -
ཉུང་བསྡུས་	adj -
ཉུལ་	v.invar -
ཉེ་དུ	n.count -
ཉེ་དུ་	n.count -
ཉེ་བ	n.v.invar -
ཉེ་བ་	n.v.invar -
ཉེ་ཚན་	n.count -
ཉེ་ཚན་གྲོང་པ་	n.count -
ཉེ་འཁོར་	n.count -
ཉེ་རིང་	adj -
ཉེ་ལམ	n.count -
ཉེ་ལམ་	n.count -
ཉེད་	v.invar -
ཉེན་	v.fut.v.pres -	v.invar -
ཉེར་	num.card -
ཉེས་	n.count -
ཉེས་དམིགས་	n.count -
ཉེས་པ་	n.v.invar -
ཉེས་ཚོགས་	n.count -
ཉེས་ལྟུང་	n.count -
ཉོ་	v.fut.v.pres -
ཉོན	v.imp -
ཉོན་	n.count -	v.imp -
ཉོན་མོངས་	n.count -
ཉོལ	v.imp -
ཉོས	v.past -
ཉོས་	v.past -
ཌཱ་མ་རུ	n.count -
ཏ་སོ་	n.prop -
ཏང་	n.count -
ཏབ་ཏོབ་	adv.mim -
ཏི་ལོ	n.prop -
ཏིང་	n.count -
ཏིང་ངེ་འཛིན་	n.count -
ཏིང་འཛིན་	n.count -
ཏུ	case.term -	cv.term -
ཏུ་	case.term -	cv.term -
ཏུར་ཏུར་པོ་	adv.mim -
ཏུར་རེ་	adj -
ཏེ	cv.sem -
ཏེ་	cv.sem -
ཐ་	n.count -
ཐ་བ་	adj -	n.count -
ཐ་མ	adj -
ཐ་མ་	adj -	adv.temp -
ཐག་	n.count -	v.aux -
ཐག་རིང་	adj -	n.count -
ཐག་རིངས་	adj -
ཐགས་	v.invar -
ཐང་	n.count -	v.aux -
ཐང་ཤིང་	n.count -
ཐད་	n.rel -
ཐད་ཀ	adj -
ཐད་པ་	dunno -
ཐད་སོ	adj -
ཐབ་ཀ་བཟང་	n.count -
ཐབས་	n.count -
ཐབས་ལམ་	n.count -
ཐབས་ཤེས་	n.count -
ཐམས་ཅད་	d.plural -
ཐར་	v.invar -
ཐར་པ	n.v.past.n.v.pres -
ཐར་པ་	n.v.past.n.v.pres -
ཐར་བ	n.v.fut.n.v.pres -
ཐལ	v.fut.v.past -
ཐལ་	n.count -	v.fut -
ཐལ་བ་	n.mass -
ཐལ་མོ་	n.count -
ཐལ་ལྕག་	n.count -
ཐིག་ལེ	n.count -
ཐིགས་	n.count -
ཐིགས་པ	n.count -	n.v.invar -
ཐིགས་པ་	n.v.invar -
ཐིང་བ་	n.v.fut.n.v.pres -
ཐིབས་	v.past -
ཐིམ་	v.invar -
ཐིམ་པ	n.v.invar -
ཐུ་	v.invar -
ཐུ་བ	n.v.invar -
ཐུ་བ་	n.count -
ཐུག	v.invar -
ཐུག་	v.invar -
ཐུག་པ	n.v.invar -
ཐུག་པ་	n.v.invar -
ཐུགས་	n.count -
ཐུགས་ཁྲེལ་	n.count -
ཐུགས་ཆོས་ཉིད་	n.count -
ཐུགས་ཉམས་	n.count -
ཐུགས་དགོངས་	n.count -
ཐུགས་དམ་	n.count -
ཐུགས་དམ་པདྨ་རཱ་ག་རྟེན་	n.count -
ཐུགས་དྲན་	n.count -
ཐུགས་བསམ་	n.count -
ཐུགས་བྲེལ་	n.count -
ཐུགས་འཁྲེང་བ	n.count -
ཐུགས་ཡེ་ཤེས་	n.count -
ཐུགས་རྒྱལ་	n.count -
ཐུགས་རྗེ	n.count -
ཐུགས་རྗེ་	n.count -
ཐུགས་རྗེ་ཅན	adj -
ཐུགས་རྩེ	n.count -
ཐུགས་ལས་	n.count -
ཐུགས་སྲས་བུ་ཆེན་	n.count -
ཐུང་	v.pres -
ཐུང་བ	n.v.invar -
ཐུང་བ་	n.v.invar -
ཐུད་	n.mass -
ཐུད་ཕྱེ་	n.count -
ཐུན་	n.count -
ཐུན་དོང་	n.count -
ཐུན་མོང་	adj -
ཐུན་མོང་བ་གང་ཟག་	n.count -
ཐུན་མོང་སོ་ཐར་	n.count -
ཐུབ	v.invar -	v.past -
ཐུབ་	v.aux -	v.imp -	v.invar -
ཐུབ་པ	n.v.fut.n.v.pres -	n.v.invar -	n.v.past -
ཐུབ་བསྟན་	n.count -
ཐུམ་	n.count -
ཐུལ་གོག་	n.count -
ཐེ་ཚོམ་	n.count -
ཐེ་རེག་	n.count -
ཐེག་	dunno -	v.invar -
ཐེག་གེ་	adj -
ཐེག་གེ་བ	adj -
ཐེག་ཆེན་	n.count -
ཐེག་ཆེན་སེམས་བསྐྱེད་བསྟན་པ	n.count -
ཐེག་ཐེག་པ་	adj -
ཐེག་པ	n.v.invar -
ཐེག་པ་	n.count -	n.v.invar -
ཐེང་མ་	adj -
ཐེབས་	v.invar -	v.past.v.pres -
ཐེབས་པ	n.v.invar -	n.v.past -
ཐེབས་པ་	n.v.invar -
ཐེར་ཕྲུག་	n.mass -
ཐེར་མ་	n.count -
ཐོ་རངས་	n.count -
ཐོ་ལེ་བ་	adj -
ཐོག་	n.count -	n.rel -
ཐོག་ཐག་	dunno -
ཐོག་མ	n.count -	n.rel -
ཐོག་རིམ་	n.count -
ཐོག་སོ་	n.count -
ཐོགས	v.invar -
ཐོགས་	dunno -	n.count -	v.past.v.pres -
ཐོགས་པ	n.v.fut.n.v.pres -	n.v.invar -
ཐོགས་པ་	n.v.invar -
ཐོགས་པོ་	adj -
ཐོང་	n.count -	v.imp -	v.invar -
ཐོངས	v.imp -
ཐོངས་	v.imp -	v.past -
ཐོངས་པ	n.v.imp -
ཐོངས་པ་	n.v.imp -
ཐོན	v.fut.v.past -	v.imp -
ཐོན་	v.fut -	v.fut.v.past -	v.imp -	v.past -
ཐོན་པ	n.v.past -
ཐོན་པ་	n.v.past -
ཐོན་བ	n.v.past -
ཐོན་བ་	n.v.fut -
ཐོབ	v.fut.v.pres -	v.imp -	v.invar -
ཐོབ་	v.imp -	v.invar -	v.past -	v.past.v.pres -
ཐོབ་པ	n.v.fut.n.v.pres -	n.v.invar -	n.v.past -
ཐོབ་པ་	n.v.invar -
ཐོབ་ལུགས་	n.v.invar -
ཐོབས་པ	n.v.past -
ཐོར་	v.past -
ཐོས	v.invar -	v.past -
ཐོས་	v.invar -	v.past -	v.past.v.pres -
ཐོས་པ	n.v.fut.n.v.pres -	n.v.invar -
ཐོས་པ་	n.v.invar -
ཐོས་པ་དག	n.prop -
ཐོས་པ་དགའ་	n.prop -
ཐོས་བ་དགས་	n.prop -
ཐོས་བསམ་སྒོམ་པ	n.count -
ད་	adv.temp -	dunno -
ད་དར་མ་མདོ་སྡེ་	n.prop -
ད་དུང་	adv.temp -
ད་ནང་	adv.temp -
ད་ལོ	adv.temp -
དཀའ	v.past.v.pres -
དཀའ་	v.invar -
དཀའ་ཆེན་	n.count -
དཀའ་ཐུབ་	n.count -
དཀའ་པ་	n.v.past.n.v.pres -
དཀའ་ཕྲན་	n.count -
དཀའ་བ	n.v.invar -
དཀའ་བ་	n.v.aux -	n.v.invar -
དཀའ་མོ	adj -
དཀའ་མོ་	adj -
དཀའ་ལས་	n.count -
དཀའ་སྤྱད་	n.count -
དཀར་	v.invar -
དཀར་དམར་མཐིང་	adj -
དཀར་པོ	adj -
དཀར་པོ་	adj -
དཀར་བ་	n.v.fut.n.v.pres -
དཀར་མི་	n.count -
དཀར་མོ་	adj -
དཀར་ཡོལ་	n.count -
དཀོན་	v.fut -
དཀོན་གཉེར་	n.count -
དཀོན་གཉེར་བུད་མེད་	n.count -
དཀོན་པ	n.v.past.n.v.pres -
དཀོན་བརྩེགས་	n.prop -
དཀོན་མཆོག་	n.count -
དཀོན་མཆོག་བརྩེགས་པ་	n.prop -
དཀོན་མཆོག་ལྷ་འབུམ་	n.prop -
དཀོར་	n.count -
དཀོར་མཛོད་	n.count -
དཀོར་ཟས་	n.count -
དཀྱིལ་	n.count -	n.rel -
དཀྱིལ་འཁོར་	n.count -
དཀྲུག	v.fut.v.pres -
དཀྲུགས་པ་	n.v.past -
དག	v.fut.v.pres -
དག་	cl.focus -	d.plural -	dunno -
དག་པ	n.v.invar -
དག་པ་མཁའ་སྤྱོད་	n.count -
དགང་གཟར་	n.count -
དགའ	v.fut.v.pres -
དགའ་	dunno -	n.count -	v.invar -	v.past.v.pres -
དགའ་གྲོགས་	n.count -
དགའ་བ	n.v.fut.n.v.pres -	n.v.invar -
དགའ་བ་	n.v.fut.n.v.pres -	n.v.invar -	n.v.past -
དགའ་བདེ་	n.count -
དགའ་མོ་	adj -
དགའ་རབ་	adj -
དགའ་རྒྱགས་པ	n.count -
དགའ་ལྡན་	n.prop -
དགའ་སྟོན་	n.count -
དགའ་སྤྲོ་	n.count -
དགུ	num.card -
དགུ་	dunno -	num.card -
དགུ་ཅོག་	d.plural -
དགུ་ཐོག་	adj -
དགུང་	n.count -
དགུང་སྔོན་དབྱིངས་	n.count -
དགུན་	adv.temp -
དགེ་	n.count -
དགེ་བ་	n.v.invar -
དགེ་བསྙེན་	n.count -
དགེ་ཚོགས་	n.count -
དགེ་ལེགས་ཕུན་ཚིགས་	n.count -
དགེ་ལྟས་	n.count -
དགེ་སྦྱོར་	n.count -
དགེས་	v.invar -
དགོངས་	v.invar -	v.past.v.pres -
དགོངས་པ	n.v.invar -
དགོངས་པ་	n.v.invar -
དགོད་	v.fut.v.pres -	v.imp -
དགོན་ཆུང་ཁྲ་	n.count -
དགོན་པ	n.count -
དགོན་པ་	n.count -
དགོས	v.aux -	v.fut.v.pres -	v.invar -
དགོས་	dunno -	v.aux -	v.fut.v.pres -	v.invar -
དགོས་པ	n.v.aux -	n.v.invar -
དགོས་པ་	n.v.aux -	n.v.fut.n.v.pres -	n.v.invar -
དགོས་རྒྱུ་	n.v.invar -
དགྱེས་	dunno -	v.invar -	v.past.v.pres -
དགྱེས་པ་	n.v.invar -
དགྱེས་པ་རྡོ་རྗེ	n.count -	n.prop -
དགྱེས་པ་རྡོ་རྗེ་	n.prop -
དགྱེས་རྡོར་	n.prop -
དགྲ	n.count -
དགྲ་	n.count -
དགྲ་ཐབས་	n.count -
དགྲ་བོ	n.count -
དགྲ་བོ་	n.count -
དགྲ་མི་ཤ་བོ་	n.count -
དགྲ་འདུལ་གཉེན་སྐྱོང་	n.count -
དང་	case.ass -	cv.ass -
དང་པོ	num.ord -
དང་པོ་	num.ord -
དངོས	v.pres -
དངོས་	n.count -	v.fut.v.pres -
དངོས་གྲུབ་	n.count -
དངོས་པོ་	n.count -
དངོས་སྣང་	n.count -
དངོས་སློབ	n.count -
དད	v.invar -
དད་	v.fut.v.pres -	v.invar -	v.past.v.pres -
དད་གུས་	n.count -
དད་པ	n.v.invar -
དད་པ་	n.v.invar -
དད་པ་ཅན་	adj -
དད་པ་དམ་ཚིག་བཀྲ་ཤིས་	n.count -
དད་བརྩོན་ཤེས་རབ་སྙིང་རྗེ	n.count -
དད་བརྩོན་ཤེས་རབ་སྙིང་རྗེ་	n.count -
དད་ཟས་	n.count -
དཔག་	v.fut -
དཔག་མེད་	adj -
དཔང་	n.count -
དཔང་པོ	n.count -
དཔང་པོ་	n.count -
དཔའ་	n.count -
དཔའ་བོ་	n.count -
དཔའ་བོ་མཁའ་འགྲོ	n.count -
དཔལ་ཁུད་	n.prop -
དཔལ་ནཱ་རོ་པ	n.prop -
དཔལ་བཞད་པ་རྡོ་རྗེ	n.prop -
དཔལ་འབར་	n.prop -
དཔལ་ལྡན་བླ་མ་	n.count -
དཔེ	n.count -
དཔེ་	n.count -
དཔེ་གོག་	n.count -
དཔེ་ཆ	n.count -
དཔེ་ཆ་	n.count -
དཔོན་	n.count -
དཔོན་པོ	n.count -
དཔོན་སློབ་	n.count -
དཔྱོད་པ་	n.v.pres -
དབང་	n.count -	v.invar -
དབང་གདམས་ངག་	n.count -
དབང་གྲལ་	n.count -
དབང་པོ་	n.count -
དབང་བ	n.v.invar -
དབང་བསྐུར་	n.count -
དབང་མོ་ཆེ་	n.count -
དབང་ཡོན་	n.count -
དབང་རིས་	n.count -
དབང་རྒྱུ་	n.v.invar -
དབུ	n.count -
དབུ་	n.count -
དབུ་དུམ་	n.count -
དབུ་མ	n.count -
དབུ་མ་རྫོང་	n.prop -
དབུ་ཞབས་	n.count -
དབུ་ཞྭ	n.count -
དབུ་ཞྭ་	n.count -
དབུ་རུ་	n.prop -
དབུ་རྒྱན་	n.count -
དབུ་རྩེ	n.count -
དབུ་ལོ	n.count -
དབུ་སྔས་	n.count -
དབུ་སྙིང་	n.count -
དབུགས་	n.count -
དབུགས་བཟང་	n.count -
དབུས་	n.rel -
དབུས་གཙང་	n.prop -
དབུས་པ	n.count -
དབུས་ཕྱོགས་	n.count -
དབུས་ཕྲུག་	n.mass -
དབེན་པ	n.v.past.n.v.pres -
དབེན་པ་	n.v.past.n.v.pres -
དབྱངས	n.count -
དབྱངས་	n.count -
དབྱངས་ཆུང་	n.count -
དབྱར་	adv.temp -
དབྱིབས་	n.count -
དབྱུག་པ	n.count -
དབྱུག་པ་	n.count -
དབྱུང་	v.fut -
དབྱེར་	n.count -
དམ་	cv.ques -	n.count -	v.fut.v.pres -
དམ་ཁ་	n.count -
དམ་ཁས་	n.count -
དམ་ཅན་	n.count -
དམ་ཅན་བསྲུངས་མ་	n.count -
དམ་ཆོས་	n.count -
དམ་པ	adj -	n.v.invar -
དམ་པ་	n.v.invar -
དམ་པོ་	adj -
དམ་བ	n.v.invar -
དམ་བཅའ་	n.count -
དམ་ཚིག་	n.count -
དམ་ཚིག་ཅན་	adj -
དམག་	n.count -
དམན་ཆ་	n.count -
དམན་པ	n.v.past.n.v.pres -
དམར་	v.invar -
དམར་པོ	adj -
དམར་པོ་	adj -
དམར་ཙར་རེ་	adj -
དམིགས་	n.count -
དམིགས་གཏད་	n.count -
དམིགས་པ	n.v.invar -
དམིགས་པ་	n.v.invar -
དམོད་	v.invar -
དམོད་པ་	n.v.invar -
དམྱལ་བ་	n.count -
དར་	n.count -	n.mass -	v.past.v.pres -
དར་བ	n.v.fut.n.v.pres -
དར་བ་	n.v.fut.n.v.pres -
དར་མ་དབང་ཕྱུག་	n.prop -
དར་མ་མདོ་སྡེ་	n.prop -
དར་ཟབ་	n.count -
དར་རྒྱས་	n.count -
དར་སྐུད་	n.count -
དལ་	n.count -	v.past -
དལ་འབྱོར་རྙེད་དཀའ་	n.count -
དལ་འབྱོར་ལུས་	n.count -
དི་ཝི་ཀོ་ཏྲ་	n.prop -
དི་རི་རི་	adv.mim -
དི་རིང་	n.count -
དིང་རི	n.prop -
དིང་རི་	n.prop -
དིང་སང་	adv.temp -
དུ	case.term -	cv.term -
དུ་	case.term -	cv.term -
དུ་མ	d.plural -
དུ་མ་	adj -
དུག་	n.count -
དུང་	n.count -
དུང་མཁན་	n.count -
དུད་པ་	n.count -
དུད་པ་ལང་རྒྱུག་	n.count -
དུད་འགྲོ་	n.count -
དུད་སོལ་ལྷ་མོ	n.prop -
དུབ	v.invar -
དུབ་པ་	n.v.invar -
དུམ་	n.count -
དུམ་བུ་	n.count -
དུར་ཁྲོད་	n.count -
དུས	n.rel -
དུས་	n.count -	n.rel -
དུས་གསུམ་སངས་རྒྱས་	n.count -
དུས་ངན་	n.count -
དེ	adv.proclausal -	cv.sem -	d.dem -
དེ་	adv.proclausal -	cv.sem -	d.dem -
དེ་བ	adv.proclausal -
དེ་བ་	dunno -
དེ་རིང་	adv.temp -
དེང་སང་	adv.temp -
དེད་	v.past.v.pres -
དེད་དཔོན་	n.count -
དེད་པ་	n.v.invar -
དེབས་པ	dunno -
དོ	cv.fin -
དོ་	cv.fin -	dunno -	num.card -
དོ་ནུབ	adv.temp -
དོ་ནུབ་	adv.temp -
དོ་མེད་	adj -
དོ་སྨད་	n.count -
དོག་མོ་	adj -
དོགས	v.invar -
དོགས་	n.count -	v.invar -	v.past.v.pres -
དོགས་པ་	n.v.invar -
དོང་	n.count -
དོན་	n.count -
དོན་ཉིད་	n.count -
དོན་དམ་	n.count -
དོན་མེད་	adj -
དོན་སྙིང་	n.count -
དོལ་	n.prop -
དོལ་ཡས་ཕོ་ཡས་མོ་	n.prop -
དྭགས་ཀོང་ཡར་ལུང་	n.prop -
དྲག་	v.fut.v.pres -	v.invar -
དྲག་པ	n.v.invar -
དྲག་པ་	n.v.invar -
དྲག་པོ	adj -
དྲག་པོ་	adj -
དྲག་ཤོས་	adj -
དྲག་སྔགས་	n.count -
དྲག་སྔགས་ཚིག་ངན་	n.count -
དྲགས	v.past -
དྲགས་	v.past -
དྲགས་པ	n.v.past -
དྲང་དོན་	n.count -
དྲངས་	v.past -
དྲངས་པ	n.v.past -
དྲངས་པ་	n.v.past -
དྲན	v.fut.v.pres -	v.invar -
དྲན་	n.count -	v.fut.v.pres -	v.invar -	v.past.v.pres -
དྲན་པ	n.v.past.n.v.pres -
དྲན་པ་	n.v.past -	n.v.past.n.v.pres -
དྲན་པོ་	adj -
དྲན་བ་	n.v.fut.n.v.pres -
དྲན་མེད་	adj -
དྲན་ཤེས་	n.count -
དྲི་བསུང་	n.count -
དྲི་མ	n.count -
དྲི་མ་	n.count -
དྲི་མེད་	adj -
དྲིན	n.count -
དྲིན་	n.count -
དྲིན་ཅན་	adj -	n.count -
དྲིན་ཅན་ཕ་མ་	n.count -
དྲིན་ཅན་མར་པ	n.prop -
དྲིན་ལན	n.count -
དྲིན་ལན་	n.count -
དྲིལ	v.imp -
དྲིལ་	v.past -
དྲིལ་བ་	n.v.fut -
དྲིས་	v.imp -
དྲིས་པ	n.v.past -
དྲིས་པ་	n.v.past -
དྲུག	num.card -
དྲུག་	num.card -
དྲུག་པ	num.ord -
དྲུག་པ་	num.ord -
དྲུང་	n.rel -
དྲུང་པ་	adj -
དྲུང་མོ་	n.count -
དྲེག་	n.count -
དྲེད་	v.past.v.pres -
དྲེས་	n.count -
དྲོ་བ	n.v.fut.n.v.pres -
དྲོ་བ་	n.v.fut.n.v.pres -
དྲོ་ལམ་	n.count -
དྲོངས	v.imp -
དྲོད་	n.count -
ན	case.loc -	cv.loc -	v.invar -
ན་	case.loc -	cv.loc -	v.invar -
ན་ཆུང་	n.count -
ན་ཆུང་བུ་མོ	n.count -
ན་བ	n.v.invar -
ན་བ་	n.v.invar -
ན་བཟའ་	n.count -
ན་མོ་	skt -
ན་ཚ	n.count -
ན་ཟུག་	n.count -
ན་རེ	case.nare -
ན་རེ་	case.nare -
ནག་	v.invar -
ནག་པ་	n.v.invar -
ནག་པོ་	adj -
ནག་མོ་	adj -
ནགས་	n.count -
ནགས་གསེབ་	n.count -
ནགས་ཐང་ཤིང་	n.count -
ནང་	adv.temp -	d.dem -	n.count -	n.rel -
ནང་པ	adv.temp -
ནང་བ	adv.temp -
ནང་མཆོད་	n.count -
ནང་མི་	n.count -
ནངས་	adv.temp -
ནངས་པ	adv.temp -
ནངས་བ	adv.temp -
ནད་	n.count -
ནད་པ་	n.count -
ནད་མེད་	adj -
ནད་མེད་ཟ་	n.count -
ནན་ཏ	adv.intense -
ནན་ཏན་	n.count -
ནམ	cv.ques -
ནམ་	cv.ques -	n.count -	p.interrog -
ནམ་གཞག་	adv.temp -
ནམ་ཕུགས་	adv.temp -
ནམ་བཞིག་	adv.temp -
ནམ་མཁ	n.count -
ནམ་མཁའ་	n.count -
ནམ་མཁར་	n.count -
ནམ་འཆི་	n.count -
ནམས་	n.count -
ནར་	dunno -
ནར་ནར་	adv.mim -
ནར་མ	adj -
ནས	case.ela -	cv.ela -
ནས་	case.ela -	cv.ela -	dunno -	n.mass -
ནཱ་བཟའ་	n.count -
ནཱ་རཱོ་པ	n.prop -
ནཱ་རོ	n.prop -
ནཱ་རོ་	n.prop -
ནཱ་རོ་པ	n.prop -
ནཱ་རོ་པ་	n.prop -
ནཱ་རོ་མཻ་ཏྲི	n.prop -
ནི	cl.focus -
ནི་	cl.focus -
ནུབ་	adv.temp -	n.count -
ནུབ་པ་	n.v.invar -
ནུབ་ཕྱོགས་	n.count -
ནུབ་བ	n.v.past -
ནུབ་མོ	adv.temp -	n.count -
ནུབ་མོ་	n.count -
ནུབ་རྨི་ལམ་	n.count -
ནུས	v.aux -
ནུས་	v.aux -	v.fut.v.pres -	v.invar -	v.past -
ནུས་པ	n.v.aux -	n.v.fut.n.v.pres -	n.v.invar -
ནུས་པ་	n.v.aux -	n.v.invar -
ནུས་མཐུ་	n.count -
ནོ	cv.fin -
ནོ་	cv.fin -
ནོན	v.invar -
ནོར	n.mass -
ནོར་	n.mass -
ནོར་ཆེན་	n.count -
ནོར་བ་	n.v.past -
ནོར་བཅོལ་	n.count -
ནོར་བདག་པོ་	n.count -
ནོར་མེད་	adj -
ནོར་འཁྲུལ་	n.count -
ནོར་འཛོམ་	n.count -
ནོར་ལུག་	n.count -
ནོར་སློངས་	n.count -
པང་	n.count -
པཎ་ཆེན་	n.count -
པཎ་ཆེན་ནཱ་རོ	n.prop -
པཎ་ཆེན་ནཱ་རོ་	n.prop -
པདྨ	n.count -
པདྨ་རཱ་ག	n.mass -
པདྨ་རཱ་ག་	n.mass -
པདྨོ་	n.count -
པས་	case.comp -
པུས་	n.count -
པུས་མོ་	n.count -
པེ་ཏ	n.prop -
པེ་ཏ་	n.prop -
པེ་ཏ་མགོན་སྐྱིད་	n.prop -
པོ་ཏི་	n.count -
པྲངས་འབུར་	n.count -
ཕ	d.dem -	n.count -
ཕ་	dunno -	n.count -
ཕ་གི་	d.dem -
ཕ་ཇོ་	n.count -
ཕ་ནོར་	n.count -
ཕ་བཟང་	n.count -
ཕ་བཟངས་	n.count -
ཕ་བསད་	n.count -
ཕ་བུ་	n.count -
ཕ་བོང་གཡག་རོ་	n.count -
ཕ་མ	n.count -
ཕ་མ་	n.count -
ཕ་མིང་	n.count -
ཕ་མེས་	n.count -
ཕ་ཚན་	n.count -
ཕ་འབགས་	dunno -
ཕ་ཡུལ་	n.count -
ཕ་ཡུལ་ཕ་ཁང་ཕ་ཞིང་	n.count -
ཕ་རབས་	n.count -
ཕ་རྒན་	n.count -
ཕ་ཤུལ་	n.count -
ཕག་	n.count -
ཕག་ནོར་	n.count -
ཕངས་པ	n.v.invar -
ཕངས་པ་	n.v.invar -
ཕངས་མེད་	adj -
ཕཊ་	skt -
ཕན	v.invar -
ཕན་	n.count -	v.fut.v.pres -	v.invar -
ཕན་གནོད་	n.count -
ཕན་ཐོགས་	n.count -
ཕན་པ	n.v.past.n.v.pres -
ཕན་པ་	n.v.past.n.v.pres -
ཕན་རྒྱུ་	n.v.invar -
ཕབ་	v.past -
ཕམ་པ་	n.v.fut.n.v.past -
ཕམ་ཕབས་	n.count -
ཕལ་ཆེ	adj -
ཕལ་པོ་ཆེ་	n.prop -
ཕུ	n.count -
ཕུ་	n.rel -
ཕུ་དུང་	n.count -
ཕུ་འདའ་	dunno -
ཕུ་ལ་ཧ་རི	n.prop -
ཕུག་	v.past -
ཕུག་པ	n.count -	n.v.past -
ཕུག་པ་	n.count -	n.v.past -
ཕུག་རོན་	n.count -
ཕུང་	n.count -	v.past -
ཕུང་ཁམས་སྐྱེ་མཆེད་	n.count -
ཕུང་ཆེན་	n.count -
ཕུང་པོ་	n.count -
ཕུང་འདྲེ་	n.count -
ཕུང་ཤི་སྐྱ་ཐེར་	dunno -
ཕུད་	n.count -	v.invar -	v.past.v.pres -
ཕུབ	v.past.v.pres -
ཕུབ་ཆུང་	n.count -
ཕུབ་པ	n.v.past.n.v.pres -
ཕུར་བ་	n.v.past -
ཕུར་བུ	n.prop -
ཕུལ	v.past -
ཕུལ་	n.count -	v.imp -	v.past -
ཕུལ་ཕྱིན་	adj -
ཕུལ་བ	n.v.past -
ཕུལ་བ་	n.v.past -
ཕེད་	v.invar -	v.past.v.pres -
ཕེད་པ	n.v.past -
ཕེབས	v.invar -
ཕེབས་	v.invar -	v.past.v.pres -
ཕེབས་པ	n.v.invar -
ཕེར་བ	n.v.past -
ཕོ་	dunno -	n.count -
ཕོ་གཞོན་	n.count -
ཕོ་ཉ་	n.count -
ཕོ་བྲང་	n.count -
ཕོ་རང་	n.count -
ཕོ་རྒོད་པ་	adj -
ཕོག	v.invar -
ཕོག་	v.past -
ཕོག་པ	n.v.invar -
ཕོག་པ་	n.v.invar -	n.v.past -
ཕོད་	v.aux -
ཕོད་པ	n.v.aux -
